month,month_name,kg_2025,kg_2024,yoy_change_pct_kg,teu_2025,teu_2024,yoy_change_pct_teu,shipment_2025,shipment_2024,yoy_change_pct_shipment,container_2025,container_2024,yoy_change_pct_container,vrac_2025,vrac_2024,yoy_change_pct_vrac
1,Jan,312483411.48,369468011.32,-15.423419103702873,8579.0,7002.5,22.513388075687253,3351,2890,15.951557093425606,5025,4274,17.571361722040244,791,1045,-24.30622009569378
2,Feb,255230908.23000002,277416540.7,-7.997227711808163,6308.0,6777.0,-6.920466283016084,2107,2778,-24.154067674586035,3604,4096,-12.01171875,211,1015,-79.21182266009852
3,Mar,292776677.78,234382073.27,24.914279362454227,7004.75,1264.25,454.063674115088,2722,821,231.5468940316687,4021,716,461.5921787709497,552,518,6.563706563706564
4,Apr,321267618.96000004,170090596.79999998,88.88029379881633,7243.0,3930.5,84.27680956621295,3178,1305,143.5249042145594,4298,2205,94.92063492063492,946,214,342.05607476635515
5,May,385809674.65,380252487.7,1.461446572937171,6637.75,7646.75,-13.195148265603034,2629,2906,-9.532002752924983,3911,4512,-13.320035460992909,625,897,-30.32329988851728
6,Jun,346892293.17999995,372874900.13,-6.96818341511896,9328.75,6793.75,37.31370745170193,3605,2719,32.58550937844796,5605,3919,43.021178872161265,816,1021,-20.078354554358473
7,Jul,361582108.08000004,235610029.07999998,53.466348394374585,7383.75,6520.5,13.239015412928456,3429,3129,9.587727708533079,4217,3674,14.77953184540011,1035,1425,-27.36842105263158
8,Aug,370153691.30999994,307321930.25,20.444932455320586,10782.5,7921.75,36.112601382270334,5199,3573,45.50797649034425,6278,4548,38.038698328935794,1767,1411,25.23033309709426
9,Sep,290814029.08000004,365698333.81,-20.477070253458248,8575.75,2475.75,246.3899828334848,3695,2139,72.74427302477794,4897,1487,229.32078009414928,1014,1597,-36.50594865372574
10,Oct,414545898.22,413476142.21999997,0.2587225454548403,10521.75,7335.25,43.44091885075492,4069,3494,16.456783056668574,6132,4247,44.384271250294326,1026,1472,-30.29891304347826
11,Nov,342730151.48,372691120.15999997,-8.039088419154556,9745.25,11686.0,-16.607479034742425,4546,3477,30.74489502444636,5363,6819,-21.35210441413697,1594,415,284.09638554216866
12,Dec,397394607.95,424329737.1,-6.347688317600128,9365.75,8993.75,4.1362056984016675,4892,3131,56.244011497923985,5407,5233,3.3250525511179054,2102,430,388.83720930232556
