hs_code,hs_description,period_value,ytd_value,category
6101,"Coats; men's or boys' overcoats, car-coats, capes, cloaks, anoraks, ski-jackets, wind-cheaters, wind-jackets and similar articles; knitted or crocheted, other than those of heading no. 6103",65778.5,65778.5,Other apparel
6107,"Underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles; men's or boys', knitted or crocheted",59127.0,59127.0,Other apparel
6108,"Slips, petticoats, briefs, panties, nightdresses, pyjamas, negligees, bathrobes, dressing gowns and similar articles; women's or girls', knitted or crocheted",1518184.7999999998,1518184.7999999998,Other apparel
6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",253560.0,253560.0,Sweaters
6111,"Garments and clothing accessories, babies'; knitted or crocheted",295408.83,295408.83,Other apparel
6201,Animals; live,47519.229999999996,47519.229999999996,Other apparel
6204,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",170112.3,170112.3,Women's trousers
6204,"Suits, ensembles, jackets, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear); women's or girls' (not knitted or crocheted)",1128020.5999999999,1128020.5999999999,Women's trousers
6205,Shirts; men's or boys' (not knitted or crocheted),55416.0,55416.0,Men's shirts
6210,"Garments made up of fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)",4774.56,4774.56,Other apparel
6211,"Track suits, swimwear and other garments (not knitted or crocheted)",142813.12,142813.12,Other apparel
6217,Sugars and sugar confectionery,60630.0,60630.0,Other apparel
