Port,Period_kg,Prior_kg,YoY_Pct_kg,Share_kg,Period_teu,Prior_teu,YoY_Pct_teu,Share_teu,Period_shipment,Prior_shipment,YoY_Pct_shipment,Share_shipment,Period_container,Prior_container,YoY_Pct_container,Share_container,Period_vrac,Prior_vrac,YoY_Pct_vrac,Share_vrac
PORT-AU-PRINCE,2785097629.91,2591766485.6,7.459435307314862,68.06731956842694,73529.0,55352.5,32.83772187344745,72.45949781229059,25965,22192.0,17.00162220620043,59.7968771590438,42710,32240.0,32.47518610421836,72.68797440348548,4954,8367.0,-40.79120353770766,39.6986938055934
CAP-HAITIEN,726990596.5,718524867.47,1.1782096087792582,17.76752840682497,18249.0,13418.25,36.00134145659829,17.983562615790927,8423,5526.0,52.424900470503076,19.398001013311227,10213,7644.0,33.60805860805861,17.381462949725996,1248,506.0,146.6403162055336,10.00080134626172
LAFITO,304117720.76,204381984.06,48.79869287829243,7.432586155359114,9694.0,9577.0,1.2216769343218126,9.55299775316331,2792,2067.0,35.074987905176584,6.429920316890056,5833,5846.0,-0.2223742730071844,9.92715885496443,36,10.0,260.0,0.2884846542190881
SAINT LOUIS DU SUD,165664182.4,0.0,0.0,4.04880486894363,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0875132421353231,0,0.0,0.0,0.0,38,0.0,0.0,0.30451157945348184
MIRAGOANE,103982820.86,365580823.44,-71.55681748250508,2.5413227245943366,2.0,0.0,0.0,0.0019709093775868184,4414,1894.0,133.05174234424499,10.165353968034637,1,0.0,0.0,0.0017018959120460194,4413,1894.0,132.9989440337909,35.36341052968988
SAINT MARC,4437294.5,4031957.9699999997,10.053094129847793,0.10844673432883695,0.0,0.0,0.0,0.0,1063,671.0,58.42026825633383,2.448067799732854,0,0.0,0.0,0.0,1063,671.0,58.42026825633383,8.518310762080294
GONAIVES,1341344.47,23144.0,5695.6466902869,0.03278223417029106,0.0,2.0,-100.0,0.0,323,1.0,32200.0,0.7438625581502464,0,1.0,-100.0,0.0,324,0.0,0.0,2.596361887971793
LES CAYES,30533.0,3675.0,730.8299319727892,0.0007462214056926757,0.0,0.0,0.0,0.0,403,1.0,40200.0,0.9281009626456634,0,0.0,0.0,0.0,403,1.0,40200.0,3.2294254347303473
PETIT GOAVE,18948.0,39316690.0,-99.95180672635463,0.00046308594619149176,2.0,0.0,0.0,0.0019709093775868184,1,11.0,-90.9090909090909,0.0023029800561927133,1,0.0,0.0,0.0017018959120460194,0,11.0,-100.0,0.0
