country,n_flows,ytd_value_kg,n_anomalies,n_significant,ytd_value_teu
USA,69,115417846.33,9,0,0.0
US VIRGIN ISLANDS,1,55437537.0,1,0,0.0
TURKEY,10,38479613.42,1,0,0.0
CHINA,137,37710434.14,11,1,0.0
EGYPT,11,35645805.98,2,0,0.0
DOMINICAN REPUBLIC,22,16845816.91,2,0,0.0
INDIA,35,14996141.17,6,1,0.0
COLOMBIA,15,13250453.48,1,0,0.0
BRAZIL,24,9939862.81,3,0,0.0
GUATEMALA,7,8231241.93,1,0,0.0
INDONESIA,10,6919112.4799999995,1,0,0.0
PAKISTAN,4,6679423.78,1,0,0.0
NETHERLAND ANTILLES,1,6264943.0,1,0,0.0
PERU,11,5701835.01,2,0,0.0
NICARAGUA,1,5225167.04,1,0,0.0
NETHERLANDS,14,4647514.09,2,1,0.0
BELGIUM,13,3627479.63,1,0,0.0
PANAMA,19,2337286.11,2,0,0.0
VIETNAM,12,2109743.7,1,0,0.0
FRANCE,11,1994666.2,1,0,0.0
CANADA,7,1129093.25,0,0,0.0
SURINAME,1,1040000.0,0,0,0.0
SPAIN,13,873135.3,0,0,0.0
TAIWAN,4,797444.0,0,0,0.0
TRINIDAD AND TOBAGO,5,704697.99,0,0,0.0
POLAND,3,486784.55,0,0,0.0
SOUTH KOREA,7,475190.64,0,0,0.0
ITALY,5,392970.0,1,0,0.0
UNITED ARAB EMIRATES,3,341028.3,0,0,0.0
THAILAND,3,253338.96000000002,0,0,0.0
SENEGAL,1,252037.0,0,0,0.0
MALAYSIA,2,242332.17,0,0,0.0
MEXICO,13,237787.2,1,1,0.0
HAITI,3,229152.99,0,0,0.0
JAPAN,6,166848.6,2,1,0.0
NORWAY,2,164629.0,0,0,0.0
ARGENTINA,2,143338.0,0,0,0.0
COSTA RICA,2,93455.76000000001,0,0,0.0
OMAN,1,88839.8,0,0,0.0
GERMANY,2,85957.63,0,0,0.0
SOUTH AFRICA,3,70780.0,0,0,0.0
MOROCCO,2,52671.0,0,0,0.0
IRELAND,2,50286.0,0,0,0.0
HONG KONG,1,47656.87,0,0,0.0
CHILE,2,45813.95,0,0,0.0
UNITED KINGDOM,2,36881.0,0,0,0.0
HONDURAS,2,35242.04,0,0,0.0
GUADELOUPE,1,35000.0,0,0,0.0
ESTONIA,1,27040.0,0,0,0.0
PORTUGAL,1,25780.8,0,0,0.0
GHANA,1,24820.0,0,0,0.0
ECUADOR,1,23993.0,0,0,0.0
LEBANON,1,20889.0,0,0,0.0
SAUDI ARABIA,1,20310.0,0,0,0.0
PUERTO RICO,1,15241.0,0,0,0.0
SINGAPORE,1,10205.0,0,0,0.0
JAMAICA,1,9707.28,0,0,0.0
DENMARK,1,8560.0,0,0,0.0
LATVIA,1,4620.0,0,0,0.0
